DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Greece,2023-11,99.68,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Greece,2023-12,99.80,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Greece,2024-01,99.95,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Greece,2024-02,100.13,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Greece,2024-03,100.36,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Greece,2024-04,100.62,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Greece,2024-05,101.07,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Greece,2024-06,101.58,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Spain,2023-09,108.93,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Spain,2023-10,109.10,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Spain,2023-11,109.29,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Spain,2023-12,109.43,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Spain,2024-01,109.64,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Spain,2024-02,109.90,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Spain,2024-03,110.18,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Spain,2024-04,110.48,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Spain,2024-05,110.75,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Spain,2024-06,110.92,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2023-09,113.63,,
